מילת_מפתח,ספירה,סוג,וариантים,וариантים_קשורים,קבוצת_מושג
קו הירוק,12,מונח_ידוע,הקו הירוק (12),,הגבול בין ישראל לשכנותיה על פי הסכמי שביתת הנשק 1949
קמפיינים,12,מילה,קמפיינים (12),קמפיינים ציבוריים,
רחבה,12,מילה,רחבה (9); רחבות (3),,
איום,11,מילה,איום (11),,
אפרטהייד,11,מונח_ידוע,אפרטהייד (6); האפרטהייד (4); כאפרטהייד (1),,המצב המדיני־ביטחוני בין ישראל לפלסטינים מאז 1967
בחברה,11,מילה,בחברה (11),בחברה הערבית; חברה,
בקרב,11,מילה,בקרב (11),,
ברשתות,11,מילה,ברשתות (11),ברשתות החברתיות,
גופי האו״ם,11,ביטוי,גופי האו״ם (11),גופי האו״ם מוסד; גופי האו״ם מוסד בינלאומיים; וגופי האו״ם; האו״ם,
היקף,11,מילה,היקף (11),,
הישראלי-פלסטיני,11,מילה,הישראלי-פלסטיני (11),סכסוך הישראלי-פלסטיני; ישראל,
המכשול,11,מילה,המכשול (11),,
התנועה,11,מילה,התנועה (11),תנועה,
ופעילים,11,מילה,ופעילים (11),פעיל,
חיזבאללה,11,מילה,חיזבאללה (11),,
חייל,11,מילה,חיילים (3); וחיילים (2); חייל (2); ובחיילים (1); בחיילים (1); כחייל (1); שחייל (1),,
מבקשי מקלט,11,מונח_ידוע,מבקשי מקלט (8); ומבקשי מקלט (3),מקלט,"אנשים שנכנסו לישראל ללא מעמד קבוע, בשל סכסוך, רדיפה או מצוקה"
מוסד בינלאומיים,11,ביטוי,ומוסדות בינלאומיים (11),גופי האו״ם מוסד בינלאומיים; האו״ם מוסד בינלאומיים; מוסד,
מעמד,11,מילה,מעמד (11),למעמד; מעמדם,
מציב,11,מילה,מציב (11),,
סבבי,11,מילה,סבבי (11),סבבי הלחימה,
ערב,11,מילה,ערבים (6); ערב (5),,
קרב,11,מילה,קרב (11),,
שלטון,11,מילה,שלטון (11),השלטון; שלטון הפקידים; שלטון חוק,
אזרחי ישראל,10,ביטוי,אזרחי ישראל (10),פלסטיני אזרחי ישראל; ישראל; אזרח,
ארץ ישראל,10,ביטוי,בארץ ישראל (6); לארץ ישראל (2); ארץ ישראל (2),ישראל,
גיוס,10,מילה,גיוס (10),גזירת הגיוס; חוק הגיוס,
דין,10,מילה,דין (10),,
האו״ם מוסד,10,ביטוי,האו״ם ומוסדות (10),גופי האו״ם מוסד; גופי האו״ם מוסד בינלאומיים; האו״ם מוסד בינלאומיים; האו״ם; מוסד,
האו״ם מוסד בינלאומיים,10,ביטוי,האו״ם ומוסדות בינלאומיים (10),גופי האו״ם מוסד בינלאומיים; מוסד בינלאומיים; האו״ם מוסד; האו״ם; מוסד; גופי האו״ם מוסד,
התנקשות,10,מונח_ידוע,התנקשות (10),,הרג יזום של יעד ביטחוני בידי מדינת ישראל
חוויית,10,מילה,חוויית (10),,
כליאה,10,מילה,כליאה (10),כליאה ללא משפט,
מוגדר,10,מילה,מוגדר (7); מוגדרים (3),מוגדרת,
מוות,10,מילה,מוות (10),המוות,
נאומים,10,מילה,נאומים (10),,
ניתוח,10,מילה,ניתוח (6); ניתוחים (4),,
נקודת,10,מילה,נקודת (10),נקודת המבט,
סדר,10,מילה,סדר (10),,
עלייה,10,מילה,עלייה (10),העלייה,
עקורים,10,מונח_ידוע,עקורים (10),,אנשים שנאלצו לעזוב את מקום מגוריהם בישראל בשל סכסוך או החלטת מדינה
עשוי,10,מילה,עשוי (10),,
עשרות,10,מילה,עשרות (10),,
ציבור,10,מילה,ציבור (10),הפרעה לסדר הציבורי; הציבור; קמפיינים ציבוריים,
רצועת עזה,10,ביטוי,רצועת עזה (7); ברצועת עזה (3),,
תחילת,10,מילה,תחילת (10),מאז תחילת,
תנועה,10,מילה,תנועה (10),התנועה,
אסירים,9,מונח_ידוע,אסירים (7); האסירים (1); ואסירים (1),,אנשים המוחזקים בידי הצד השני במסגרת הסכסוך
ב-7,9,מילה,ב-7 (9),,
ב-7 באוקטובר,9,ביטוי,ב-7 באוקטובר (9),ב-7 באוקטובר 2023; 7 באוקטובר,
בג״ץ,9,מילה,בג״ץ (9),,
בית,9,מילה,בית (9),,
במפורש,9,מילה,במפורש (9),,
גופי האו״ם מוסד,9,ביטוי,גופי האו״ם ומוסדות (9),גופי האו״ם מוסד בינלאומיים; גופי האו״ם; האו״ם מוסד; האו״ם; מוסד; האו״ם מוסד בינלאומיים,
גופי האו״ם מוסד בינלאומיים,9,ביטוי,גופי האו״ם ומוסדות בינלאומיים (9),האו״ם מוסד בינלאומיים; גופי האו״ם מוסד; מוסד בינלאומיים; גופי האו״ם; האו״ם מוסד; האו״ם; מוסד,
דוד,9,מילה,דוד (9),,
הביקורתי,9,מילה,הביקורתי (9),ביקורת,
ההבדלים,9,מילה,ההבדלים (9),,
ההפיכה,9,מילה,ההפיכה (9),ההפיכה המשטרית,
ההתיישבות,9,מילה,ההתיישבות (9),התיישבות,
המבט,9,מילה,המבט (9),נקודת המבט,
המנדט,9,מילה,המנדט (9),המנדט הבריטי,
הנכבה,9,מונח_ידוע,הנכבה (9),נכבה,המלחמה על עתיד הארץ והקמת מדינת ישראל 1947–1949
הקמת,9,מילה,הקמת (9),,
התנגדות,9,מילה,התנגדות (9),ההתנגדות; פעולת התנגדות,
וגופי האו״ם,9,ביטוי,וגופי האו״ם (9),גופי האו״ם; האו״ם,
זהות,9,מילה,זהות (9),הזהות,
חדשות,9,מילה,חדשות (9),,
חקיקה,9,מילה,חקיקה (9),,
ישירה,9,מילה,ישירה (6); ישירות (3),ישיר,
כוונה,9,מילה,כוונה (9),,
מלחמה חרבות ברזל,9,ביטוי,מלחמת חרבות ברזל (9),חרבות ברזל; מלחמה,
ממד,9,מילה,ממד (9),,
ממסגר,9,מילה,ממסגר (9),,
מקום מדינה,9,ביטוי,קום המדינה (9),מדינה,
משפט בין-לאומי,9,ביטוי,במשפט הבין-לאומי (6); המשפט הבין-לאומי (3),,
משפט הומניטרי,9,ביטוי,המשפט ההומניטרי (5); במשפט ההומניטרי (4),המשפט הומניטרי,
מתייחס,9,מילה,מתייחס (9),המתייחס,
פעיל,9,מילה,פעילים (6); פעיל (3),ופעילים,
קפלן,9,מילה,קפלן (9),מחאת קפלן,
שביתת נשק,9,ביטוי,שביתת הנשק (9),קו שביתת נשק,
שונה,9,מילה,שונות (6); שונה (3),הראשונה,
תקשורת בינלאומית,9,ביטוי,ותקשורת בינלאומית (5); תקשורת בינלאומית (4),תקשורת,
אוסלו,8,מילה,אוסלו (8),,
אמנה,8,מילה,אמנות (3); ואמנות (2); האמנות (1); לאמנות (1); באמנה (1),,
ב-7 באוקטובר 2023,8,ביטוי,ב-7 באוקטובר 2023 (8),ב-7 באוקטובר; 7 באוקטובר,
